content,lable
짧아도 앞뒤맥락이라는게 있는데 너무 내용이 없는거 아닌가요...,0
3부 50화보다 느낌이 쎄해서 왔는데 그림체 무슨일인가요?,0
우레가 손잡고 같이 자폭해라 니들 의미가 없다,1
그때부터 문제가 된거임,0
후반 가면 제발 리메이크 해달라고 울게 될꺼다,0
와...,1
혼란을 틈 타,1
분량 왜이럼,0
세요 무협물에 액션신이 하자있는게 좀 그렇네요,0
정치인들이 전부 범죄자들이라 강력처벌 못하게 법을바꿔놓으니..,0
아 ㅋㅋ 선빵 쳤다고,1
그냥 무료로만 봐왔는데...,1
자기는 선택을 받았데ㅋㅋ,1
그냥 순수 그림 실력 문제인듯 경험이 적으니..,0
네가 폰이 아니면 누가 폰에 어울리겠니...,1
난 재밌는딩,1
흠;;,1
재미없누,0
대사가 오그라들어.,0
미리 쓸데없는 설정들을 공개해버리니까 설정 안찾아보고 웹툰만 보는 사람들은 베댓들이 뭔 소리를 하는건지 알지를 못하고...,0
빌드업이라는게 존재하는 웹툰이었다는게 놀랍다,1
검수도 안하고 갖고오나,0
정주행하면 진짜 자연스럽게 재밌음,1
아니면 스토리전개가 빠른건가?,0
웹툰이나 드라마나 가면갈수록 진화를 해야할텐데 퇴화를 하냐 어찌,0
8년이면 하다못해 중간에 편입이든 유학이든 하는게 정상이지 누가 8년 연속으로 수능만 봐요..8년동안 수험생활 지원해줄정도면 가난한 집도 아닌데.,0
아 두번째 이동 과정 변태 빼고 재탕한거 꼴받네;;;;,0
그러니까 천마신교에서 처음으로 가르치는게 눈싸움 잘하는 법이라는 거지?,1
｡정주행하는 입장에서는 문제될 거 없어보이는데 무작정 빠르고 사이다인 전개보다 천천히 떡밥 전부 회수하면서 탄탄하게 스토리 이어가는 게 훨씬 낫다고 생각,0
???,1
힘들게 작업해서 올려놧드마 분량타령 진도타령하고잇네,1
"아니 주인공 좀만더 세게 해달라고요 작가양반,네이버 웹에 언어 제로 힘 만렙이래서 왔다니까요,막 한방컷은 기대안해도 맞고 다니지 말고 좀더 세게 해주세요",0
친구 운운 ㅈㄹ하는거 개유치하고 ㅈ노잼,0
댓글 지들이 유일하게 전문적으로 알고있는 입시판 내용 나오니까 안경척 하면서 조목조목 틀린부분 따지는거 겁나 하찮네ㅋㅋㅋㅋㅋㅋㅋㅋ,1
나 진짜 댓글 잘 안 다는 데 이 작가 작품 보일때마다 열받아서 미칠거같음,1
그 연예인 하던애 아닌가,1
칙쇼!!,1
이제 곧 2부 후기 올라오면서 독자들 대가리 박살내겠지?,1
응원합니다,1
좀나아지나 싶었다...,1
헐 이건 진짜 좀 아니다,1
지기네 천본앵경엄,1
처음 접하는 독자한테 너무 불친절해요,0
그럼 밤이 하진성보다 강한건데 솔직히 이건 벨붕이지 하진성이 이때까지 얼마나 강하게 포장되어 왔는데...,0
분량 너무 심해서 1점 드림...,0
놈은 되고 ㄴ은 안되냐,1
내용이 너무 방대하고 새로운 등장인물(인척하는 잠깐나오는 사람)이 많으까,0
지옥열차때 호아퀸 작화보다가 요즘거 보면 아무리봐도 시우가 거의 안그리는것같음..,0
이게 나라냐?????,1
난중에 거짓말이라고 해도 믿어주고 싶은게 팬심이오,1
덴경대지만 어차피 또 완결못함,0
좀 사람들 의견 봐가면서 그려주면 안될까요?,0
66666년 환생이랑 마무리가 비슷한데 뭐지,1
그냥 이만 완결내자,0
↓↓엑스트라 과하게 많긴함 ㅇㅈ,0
솔직히 초반 작화가 좋은 편은 아니긴 했음,0
주인공 오기 전의 긴박함도 없구..,0
아는형님 38화 보면 소원이 95년생인데 내가 3살때 나온 노래라고 했는데 95년에 1살 96년에 2살 97년에 3살인데 자막에 98년이래 나이 계산할 줄 모르냐봐,0
이 정도면 작가는 행방불명이고 연재는 해야되니 비슷하게 잘 그리는 사람 데려다놓고 연재하는거 같은데,0
6개월 안보다가 하나 골라서 봤는데 수준이 뭐 이러냐 아직 체스게임 하지도 않았나 ㅋㅋㅋ 완결되면 1부정도는 봐준다,0
별테좀 그만합시다,0
오...,1
서로 자유가 있는건데 본인 입맛에 맞추려고 몆주째 같은 댓글 쓰는게 쫌....,0
담당자들부터 시말서 쓰자,0
1점을 주기위해 다른 우주에서 아비가일들이 넘어온다!,1
내용은 재밌는데 분량이,0
컷수가 너무 짧네요,0
주인공 비율 무슨일이지;; 다리 겁나 짧네,0
"로렌스의 여자, 지가 무슨 닿지 못할 꽃이라도 되는 듯, 쥔공을 차 버린 여자였나?",1
이해도 안되고 감동도 없고..,0
대화 근데 이제 몸을 곁들인,1
네이버플러스로 쿠키를 49개 받지만 마지막날 2개가 남아도 여기엔 태우지 않으리ㅡㅡ,1
그림체는 그냥 일본 고유 일러체고스토리도 양산형인거같음,0
로렌스 ㄹㅈㄷ..,1
지가 뭔데 남의 오토바이에 내기를 걸어?,1
머여...,1
그래서 뭔가 답답한듯 ㅈㄴ쌘줄알고 어떻게든 팀으로 만들려고 발악하는 몇달의 분량이 겨우 고양이1명 때문에 쓸모없는 분량이된게 크다 적어도 3형제는 정신지배 안통하게 설정했어야지,0
그림못그리는거 감추려고 진짜 확대 오지게하네 ㅋㅋㅋㅋ 작작좀해라 제발,0
고로 생각한다,1
뭘 말하고 싶은건데????,1
내용은 안 읽고 댓글만 보고 갑니다 ㅎㅎ,1
잼네 ㅋㅋㅋㅋㅋㅋㅋ,1
양가놈아 일점주는것도 요번까지다 재미도 없고 이것도 몆년 질질싸다가 마무리도 흐지부지 할거니까 이젠 관심도 안주련다,0
네이버에서 이런 분량 처음봄,1
오ㅋㅋㅋㅋ 브래드는 실제에서도 만화에서도 똑같군요!,1
야이 네이버놈들아 축소해서 볼수있게해달라고 작가가 안하니깐 내가 그냥 축소해서 보겟다고!!!!,0
그냥 다 어시가 그리는듯 얼굴 작화가 어떻게 이렇게 되냐,0
중력술사...?,1
"미국은 슈퍼 히어로가 등장해서 시민을 악으로부터 보호하는 내용의 작품이 많고, 일본은 주인공이 시행착오를 겪으면서 친구들과 성장하는 내용의 소년만화가 많은데, 우리나라는 그냥 일진 미화물이 많음.",0
왕자공주 입양 전부터 보던 구독자인데도 너무 당황스러운 분량....,0
ㄷㄷ,1
한회한회 보면 스토리 이해하기 어렵거나 전개 답답할수도 있는데 걍 몰아보는거 나쁘지않은데..,0
앞으로도 계속 잘 부탁드려요!,1
그럼 10점 줄게,1
감성이 딱 소드아트온라인 그시절 감성인데ㅋㅋㅋㅋ 2010년도쯤에 봤으면 재밌게봤을듯,1
나 중학교때 양아치들 대화 듣는거 같군,1
조규철 = gc. 윤결 = gy.,1
그래야 작품성이 안 떨어지는데..,0
또 이상한대로 보내서 시간 질질끓었음,0
이제 봤는데 이거 그 389 스튜디오에서 재작한거임.,1
오토바이 튕기는 거 존나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
다만..,1
"그 ㅈ간지 우렉마지노가 동네 헬스장 트레이너가 되버리다니,,",1
화산귀환이 참 엄청난 작품이란걸 알게되었다.,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하교길에 오토바이 두대가 빙글빙글 감싸기 아 진짜 걍 웃겨서 봄,1
웹툰이 왤캐 성의가 없냐,0
욕하면서봐주면 양가 용돈주는거밖에안되는데..,0
결국엔 마지노가 망친거네 ㅅㅂ,1
유행어야???,1
스토리는 초등학생이 쓴 수준임,0
울화 시공~~~^^,1
욕먹는 이유는 하나겠지..,1
쿠키 3개 ㅋㅋㅋㅋㅋㅋ,1
작품 올리기 전에 적어도 작가님으로 인해 등단의 기회를 받지 못한 신인작가들에 대한 책임에 대해 생각해보시고 연재하셨으면 합니다.,0
그림체는 좋음 ㅇㅇ,1
우렉을 기대하고 쿠키 구웠으면 아쉽겠지만..,1
화면 24인치는 돼보이네 ㅋㅋㅋ,1
지금.,1
웹툰은 평가하라고 만든게 아닙니다맘이 안들면 보지마세요,1
여캐 맛집컨셉으로 가면 안됨?,0
맨날 휴재 처하노,0
작가님들도 다 생각이 있습니다,1
천원.,1
그냥 메그너스 칼슨이 구스트앙한테 빙의해서 트로이메라이 체스로 쳐바르고 끝내죠,1
물론 작가님께서도 실수하신 것도 있지만 충분히 이해되는 실수들이라는 생각이 드네요,1
저는 컷수는 네이버하고 다 협의된 내용 일테니 상관없는거같고 저는 유튜브 인스타를다 구독하고있어서 내용을이해하고 보는데 다른 댓글들보니 처음을 네이버 웹툰으로 보시는분은 이해하기힘드실것같아요.,0
지금까지 인서울카르텔을 사랑해주셔서 감사합니다,1
미계인??,1
1년 모았다가 봐도 스토리진전없음 ㅋㅋㅋㅋㅋㅋ,0
인생작 겟토,1
입시 주제 웹툰을 만들기엔 현실성이 너무 떨어져서 몰입이 안돼요.,0
ㅈㅉ별로다,1
전달하고 싶은 내용이 뭐임,0
놨구나..,1
독자가 어느 포인트에 애착과 관심을 가지냐?,1
흠...,1
전에 그림체보다 나은데 보기싫음 하차하면되지,1
정서가 걍 국내랑 안맞네,1
더이상은 못보겠드아..,1
내용도 중구난방이고 재미도 없고 가주끼리의 무계감도 없고.....,0
아니 있다해도 매 순간 게임을 집어넣으면 내가 죽기전에 완결을 볼 수 있을까 싶기도 하고.,1
내용이없네,0
무협태그 때라고,1
스케일 키우지만 말고 크게 한번 싸워서 밤 주변 쩌리들이나 엑스트라 싹 정리하고 가는게 맞다고 봄,0
나도 연재초기 신의탑 보고 지금까지보고 했는데..,1
그럴거면 걍 요약본을 찾아서 보셈,0
헷갈리게 그려놓고걍 때려치라니깐?,0
이게 별이삼샵보다 위에 잇냐?,1
플로라 ㅈㄴ 짜치네 ㅋㅋ 얼탱없노,1
다음화가 너무 궁금하네요,1
소드마스터 야마토식 엔딩 유기의 귀재 양영순,1
잘못된길을 가는 웹툰에게 별점1점을 주는것도 친구겠지,0
했는데 그대로네 더 스트레스 받기전에 그만 둬야겠다.,0
이건 제목선정부터 잘못됐다...,0
타라.,1
여기가 별점 무조건 1점 주는 곳인가요?,1
평점 왜이래????,1
님들 근데 객관적으로 현재 나쁜쪽으로 콩깍지가 씌여진거 같아요,1
작가님 만잘알이시네,1
오늘 유료분 보니까.,1
이설이 또라이 부분 완전 웃겨ㅋㅋㅋ,1
👍),1
음..,1
그렇게 타이밍을 잘 맞춰서 그렇게(인기가 많아진)거야,1
유치해서 봐줄수가없네,0
야스라찬지 스리라찬지 용서 못해.ㅠㅠ,1
라고 하면서 그 사이에서 함께 연재되면 그럴 수 있다고 생각하면서도 솔직히 좀..,1
솔직한 감상평은 설정도 대사도 세계관도 유치하고 촌스럽기 그지없음,0
그림체가 낯익다 했는데 미나이퀄 작가님이셨군요,1
점점 산으로 가네...,0
낮은 별점 회차를 찾아보는 재미가있어이 물론 댓글만 읽지만,1
아니 걍 그림체좀 다시 돌려놔,0
웹툰작가로 날로 먹는다는 느낌.....?,1
의견 적는건 좋은데 적어도 무책임한 말로 공연히 자기 일 하고 있는 작가님한테 욕을 하시는건 좀 자제해야 하지 않을까요,0
ㅋㅋㅋㅋㅋㅋㅋㅋ,1
"시즌 1의 화산귀환은 작화와 분량, 두마리의 토끼를 다 잡아서 인기 있던게 아니였을까?",1
아오....,1
양산형 판타지 회귀물 몇 편 보고 초딩이 냅다 생각나는대로 그린 것 같음.,0
자기가 좋아하던 소설이 웹툰화 하는데 망하면 좋아요?,1
오류있네요.,0
개연성 어디갔노,0
네이버는 그림체 ㅈ도 안맞는 작가고용해서 그림그리라 하고 또 그림작가는 지 그림체랑 내용 안맞는거알면서 돈벌라고 또 그걸 받아들이고 ㅋㅋ 그럼 그림체라도 바꾸던가 연재 다시시작한이후부터 쭉 그림체 비판여론 있는데 수용은 커녕 댓글알바 풀어서 억빠나하고 있고 ㅋㅋ 네이버 뿐만아니라 의견 수용안하고 그림체는 커녕 게이같은 모델링하나안바꾸는 그림작가문제가 더큼 ㅋㅋㅋ,0
난 모든 화 10점 준다 난 정말 재밌다,1
처음부터 밤 원툴로가면 좋은데 갑자기 자왕난 무수리나오고부터 끊음,0
사패련 보려면 걍 5년은 걸릴 듯;,1
잘자다 깨가지고 야마돌았나보네,1
나진짜 이런댓글 첨 써보는데 작가님 너무 욕심이 과하신 거 아닌가요?,0
그냥… 👍,1
???????????,1
입시낭인 고시낭인 공시낭인 등등...,1
보면볼수록 밸런스 파괴에 알수없는 전투신 알수없는 기술이 난무함 마법인지 기술인지 뭘 소환도 하는데 기술설명이라도 적어주던지 나루토는 수많은 술법이 있어도 이해가 가는데 이건 공파술빼고 이해되는기술이 한개도 없음,0
뭔놈의 웹툰 사이즈가 컴퓨터로 33%까지 줄여야 제대로 보이냐 ㅋㅋㅋㅋㅋㅋㅋ,0
ㅋㅋ어떻게든 초반부 질질끌리니까 스킵하려고 장면 대사 욱여넣고 애쓰네 댓글도 아까움ㅅㄱ,0
전개가 느려지는건 거의 기본값이라고 봐야해서...,0
1빠 재밋네,1
너무 별로임,0
서로 꾸준하게 도발하지만 둘 다 아직 싸울 시기가 아니라고 판단해서 전젱 준비하는 과정인 데 왜 전쟁안하냐고 징징거리거냐..,1
하이퍼리얼리즘 만화가 아니라 사회풍자 개그만화인가,1
최강전설 강해효vs신의탑=?,1
"쾅쾅, 쳇 이런 이란 내용으로 몇주째 하는건지...",0
진행이 안되너,0
내가 17살때보던 웹툰이 결혼하고 30살이 됐는데도 아직도 연재 중이라니ㅋㅋㅋㅋㅋㅋ지금쯤 완결났을까?,1
야 새로 그리라고 이새갸,0
많이 빠진거같은 수준의 내용이고...,0
정주행 하기 너무 힘든 작품입니다.,0
그저 재미로 까는거라고 몰아가기 전에 악플이라고만 몰아가기 전에 뭐 때문에 그 팬들이 돌아섰을지 생각이라도 해봐라,0
그냥 noble레스처럼 핵맞고 끝나는 엔딩으로 가자,0
4.청명말고도 화산이란 문파가 과거보다 세졌다.,1
이건 작가님보다는 네이버측 조율이 잘못된것같네요.....,0
서두가 난국인건 맞군요.,0
멍청해서 그런 게 아니라 걍 태도가 안 잡혀있음,0
울렁울렁,1
이건 뭐 내용이 담배중독자가 원숭이 슬라임을 빈사 상태로 만들었는데 걔가 기생한다.,1
이딴 고구마 내용에 재미도 업ㅅ네 ㅋㅋ 요즘 트렌드 역행,0
빨리 캐슬보고싶당,1
세이브 원고가 아닌 거냐 ㅋㅋ,1
5.42면 인마 크보에서도 형편없는 era라고,0
8수 45등급이면 안한거 아님?,1
혼란하다 혼란해.,1
그래서 탑을 변화시키는거고 뭔 캐붕,0
이름이 웃기지마 ㅋㅋㅋㅋㅋ 작명센스 재밌넹 ㅋㅋㅋㅋ,1
작화 진짜 못봐주겠네 누가그렸냐??,0
ㅋㅋ 몆페인지는 모른겠는데 효과음에 음염주는게 ㅋㅋ 맞냐? ㅋㅋㅋㅋㅋㅋㅋㅋ,0
유이설 운기도중에 말을??,1
따봉,1
다시보니 좀 에반듯,0
하....,1
또 하진성이 칼라반한테 밀리는 거부터가 이상함,0
덴마 에피소드 몇개 뽑아서 만화영화 제작한단다..,1
"중력, 약력, 강력, 전자기력...",1
작가가 작품 포기한지 한참인데,1
주인공 말 한마디 나오면 이 웹툰 스토리 쓰레기통에 버리세요,0
나이먹은거맞어^^,1
?,1
진짜 똑같이 잘 그리신다 와...,1
그래서,1
소설 보고온놈들 왤케 불만이 많아 그냥 좀 봐 이정도 퀄리티면 이해해줄만하잖아,1
ㅁㅊ ㄴㄱ야,1
난 여기까지할게.,1
안 될 텐데...?,1
주인공 응원하게 되네 ...,1
양파즙 사먹을 돈이 떨어졌나 다시 웹툰 그리네,1
나름 볼만한데 ㅋㅋ 작가님 화이팅입니다.,1
"그냥 그림실력이 구려 ,,기 싸움하고 안 하는게 아니라 못하는거다 하던거만해서",0
이건 작가문제보단 담당자가 잘못한거다.,0
작가 뇌에 셀프너프빔맞았냐?,0
진짜 이런말 하기 싫었는데 너무 재미없어졌다 이젠 그림체가 뭐가 뭔지 구분하기도 힘들어 졌고 내용도 진짜 뭣같아져서 너무 답답하다,0
"현재까지 연재된 25화까지 쭉 다 본 결과, 솔직히 연출은 많이 아쉽습니다.",0
자 추리 들어갑니다,1
독자들이게도 짓밟고 올라간 신인작가들에게도 기만이죠.,0
교도소에 있는 교권국 요원에게도 좀 쳐맞는 그림이 나오길 바랬는데,1
앜 다들 울 zI존씌한테 그리 야박햌ㅋㅎ,1
슬슬 지금 그림체에는 적응이야 돼긴한데 캐릭 일부는좀 바꼈으면 좋겠다,0
전작 진짜 재밌게 봤어요,1
용두 끝내주고 사미 끝내주는 일개 웹툰작가일 뿐이잖아.,1
이번에는 실망시키지 않겠다.,1
대체 뭘 그린건지 하나도 모르겠어....,0
잘보고가요,1
전편이랑 다르게 이번에는 주인공 멀쩡하게 이동하넹,0
작화도 좋고 분량도 많구만 내용진도 안나간다고 징징대는 애들 진짜 많네,1
소설이랑 분위기 너무 다르네,0
그냥 1기나 2기 끝나고 세계관 공유하는 작품 어시 든 작가든 구해서 같이 연재했어야 했다고 봄.,0
작가님도 수고하시지만 좀더 노력해주심 해요..,0
예전 10가주 이미지는 코즈믹호러같은 느낌이었다면 트로이메라이는 그냥 동네 성질드러운 형같음,1
극우 폭도들 ㅋㅋ 아닌가,1
어???,1
그러실 필요도 없고요.,1
액션이나 그림체 공부좀 많이 해야겠음.,0
아니 ㅋㅋ 돈 버는 것에만 관심 있는 캐릭이 뭔 갑사기 정의의 사도 빙의해서 탐정수사한다고 나대냐ㅋㅋㅋ,0
다른건 모르겠는데 작화 퀄리티가 좋아졌다는 것은 정말 이해가 안 가네요...,0
로만..,1
개재밌네ㅋㅋㅋㅋ,1
전에는 가슴이 너무 컸는데 이뻐졌을듯,1
웹툰 표지랑 머리카락 스타일이 ...,1
이런 결말은 항상 전통적으로 1점입니다.,0
한 화 내내 질질 쳐 끌기만 하노,0
규철이 : 히히!,1
제대로 결말지은 작품이 있나?,0
그럼..,1
에휴 cba 고구마만 몇년째냐??,0
중요한건 둥지에피가 무슨 전쟁이 승탑시험 마냥 이상한 겜이나 하고 가주는 히키 찐따로 나와 말아먹어서 그렇지,0
"딥페이크가 얼마나 무서운 건데 다들 감사하다며, 작가님 서비스라는 말을 서슴없이 하네요;",0
또 게임이니 뭐니해서 진행 늦추겠지 ㅋㅋ 가주가 바로 나와버리면 스토리 끝나버리는데,0
ㅋㅋㅋㅋㅋㅋㅋㅋ 어이가 없네,1
오늘 안올라오겠지?ㅠ,1
내 월요일을 책임지던 신의 탑 돌리내..,1
"배달왕이라길래 배달하면서 생기는 소소한 에피소드나 그런걸 빵튀기하는건줄 알았는데, 그냥 일진 마약물이네...",0
대사하나하나가 유치하네...,0
일단 안봤고 1점 줬습니다,1
이등병 약장 붙이는 곳 엉터리로 생긴거부터 분대장을 뽑는다고 표현하는것까지..ㅋㅋ,0
이게 분량이 적다니,0
과거의 잣대는 버리겟음,1
안봐도 되겠다.,1
보는데 거슬리는거 없구만 자기 몸에도 없는 근육을 따지질 않나.,1
공부가 적성에 안 맞으면 다른 길을 열어주든 길을 찾을 때까지 기다려주면 되지.,0
중력을 다룬다는 것 빼고는 이점이 하나도 없어서 그럼,0
금방 잡힐 것을 왜 하는지...,0
작화는 준수한 편인데 대사가 너무 유치함,0
근데 이걸 잘 받아들이게 하려면 작가님도 각각 에피소드에 집중하면서도 계속 전체적인 흐름 거시적인 틀을 자꾸 강조하는게 좋을 것 같긴함,0
그냥 랭커가 선별인원을 건들면 안된다는 규칙이 그대로였으면 참 좋았을텐데...,0
제대로 긁히네,1
맨 밑바닥에 있어야할 작품인데....,0
이젠 본인 그림체가 아예 안보이는데,0
안타면 어쩔껀뎅ㅋㅋ,1
니들은 서류 40장 썼더니 갑자기 니 상사가 와서 회의 1시간 남았는데 왜 준비 안하냐고 하면 안화날거 같아?,1
전작처럼 어거지로 끝내서 후기까지 욕먹지 말고,0
시우는 그냥 겜캐릭터만 뽑아낼생각뿐 스토리 관심도없고 기억도못한다,0
이정도면 작화 뭉개진 수준도 아닌데 뭘.,1
몬가 새로전학온반에서 나빼고 아는친구들끼리 즐거운느낌?,1
베도에도 못올라올 내용아니냐?,0
스스로 강해져야한다는고 말해 놓고 결국 배째란 식인거 자나..,0
좋은 만화 재밌는 만화 그리는건 너무 감사한 일이지만 또 되도않는 게임 넣어서 끄는 그런 부분은 내 개인적으로는 불만이다.,0
제목자체가 인서울 카르텔인데 한국총리도 전에 사교육 과열이 심각하다 고 언급했었으니 작가가 뭔가,1
사이드컷은 왜자꾸 나누는지?,0
이래서 대기업.,1
1년만에 보니까 기억이 안나네,1
근데 소매가 아무리커도 저 독들이랑 암기가 다 들어갈수있나,0
솔직히 말해 이것도 거래 느낌 나서 불안해.,0
22컷 차이..,1
작가님과는 별개로 박만사 작품은 기안과는 다르게 차별성이나 의외성에서 오는 감동이 없음.,0
파도잡이는 오데같너?,1
마지막 앤딩때마다 이상한 다음화예고 그림좀 안했으면 좋겠네ㅡㅡ,0
웹툰 보고 소설로 넘어가서 다 지른 사람 나요,1
지금은 뭔가 이도저도 아닌 느낌이 되어버림,0
꼬박꼬박 안 잊어버리고 1점씩 주고있으니깐 정신차리고 연재해줘,0
뭔가,1
방심하비 말라면서 지 트롤링 때문에 팀원들 다 뒤지게 생겻네,0
웹툰도 비가식 늘려쓰기 똑같네..,0
분량 짜증난다 ㅇㅈ?,0
다섯번째:세번째랑 네번째를 계속한다.,0
대단한 분이시네 소녀재판에서 왔나,1
음...,1
강의실 헷갈렸습니다박고 나가면되지,1
근데 아무쓸모없어.,0
께끼ㅋㅋㅋ귀여워요,1
일본꺼 가지고올려면 이름이라도 한국식으로 바꾸던가,0
덴마 말아먹었으면 뭐 은퇴라도 해야 하냐?,1
일본이름보고 개당황했네 머임 싶었음,1
와우,1
웹툰부서 책임자 해고 사유 아닌가,0
아마 작가님께서 스토리라인 잘 구성하셔서 이렇게 느껴지는 듯.,1
요즘 좀 노잼 같으면 개추,0
아..,1
그냥 이펙트 떡질 붕쯔붕쯔 지 뇌내에있는걸 배설하는거같은데,0
진짜 맞춤법 검사기도 안 돌리는건가 ㅋㅋ,0
제목 바꿔야 하는거 아닌가요..,0
경찰이 개입한건 이번엔 꼬리자르기위해서지만 언젠간 교권국과 검경 합동수사본부를 구성해야할것이다.,0
제발 진도 좀 나가요...,0
뭐랄까..,1
양심이나 부끄러움따위는 없는건가?,1
그냥 화려한 쓰레기 입니다,0
인맥으로 작품 위로 올리는건 아닌거같다,0
니가 확대해석 한게 우리의 본의인 마냥 쉐도우 복싱하는건 별로 보기안좋네.,0
발전이 없누,0
따효니에서 봤던 것 같은데 여기서 보니 반갑네,1
근데 파티원들이 현명한거임,1
숨어서 하는 짓하고는...ㅉㅉ,1
어느덧 40대 가장 및 조금만한 사업체 대표가 되어 바라보니 양영순작가는 정말 책임감 없는 사람이였다는걸 느낀다..,1
체스하러 가는 길도 세월아 네월아,1
시간 낭비일뿐.,0
덴마는 재미가 있었어.,1
어차피 몇백원 주고 이래라저래라 하는 인간들은 롱런 못할 인간들임.,1
아주 빠르게!,1
애는 진짜 죽이겟는데,1
그리고 슬레이어 버프가 너무 필요함,0
이거 뭐 ㅋ 종이로 따지면 한장도 안나올 분량이겠고만 ㅋㅋ 작업하시기는 편하실듯.,1
재밌고 문제없는데?,1
한림눈나..,1
왜 아직도 1부 술래잡기에서 못벗어나고있음?,0
감을땐 감아야지;,1
최강 ZlZion!!,1
한심하게 사는구나ㅋㅋㅋ,1
아니.,1
동화처럼 아기자기하고 충분히 좋은 내용인데 안타까워서 댓글 남겨요.,1
멍멍이세력 얻을려고 생쇼를 수십주동안 했는데 고양이 군단장 한 놈 만나서 바로 다 몰살 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
마지노 왜이렇게 맹해졌지..,0
아무리 생각해도 지금 가주 대 가주 양상이니 힘이 엄청 들어간 진지한 전개면 긴장감 생기고 좋을 것 같은데 앞의 야마는 너무 만담 같아서 집중력이 떨어지는 것 같아요…,0
그래도 이전까지는 어떻게든 알아보면서 봤는데 이번꺼 초반부는 아직 못알아보겠다,0
기억이 잘 안나네요,1
"흔해빠진 설정은 둘째 치고, 작가가 지능이 좀 낮은 것 같은게 연출이 처참해서 스토리 공감이 하나도 안 되고 몰입이 불가능하네..",0
캬캬캬캬 별점 떨어진다 ㅋㅋㅋㅋㅋ,1
집에서만 연습하고,1
성 입구는 성문 하나가 아님 기병대 보내서 끊임없이 괴롭혀야 함,0
해자가 아니라 시냇물인데?,0
그림도 괜찮고.,1
당외?,1
이번화 분량보면 진짜 엄청남,1
갠적으로 마님툰 팔로워였기 때문에 재탕 같아서 더 아쉬워요.,0
si1바분량 하....,1
"공부해서 7, 8등급도 말안되고 7년 공부해서 4, 5등급도 말안되고ㅋㅋ 경계선지능장애도 1년 공부하면 4등급은 나오는데 말같지도 않은 설정에 '창업준비'로 7년간 휴학과 군대연기 되는 신비한 나라, 군입대는 일반휴학이 아니라 제적 당할리가 없는데 군입대 제적이니 뭐니 심지어 7년 공부해서 4, 5등급 받는 지능가진 애한테 대학교 대신 다니라니 ㅋㅋㅋ 오히려 싹다 F학점 받고 제적당하겠고만설마 수능공부는 틀에박혀서 점수가 안나오지만 대학공부는 달랐다",0
액션인척하는 개그물인가..?,1
"점점 더 스토리가 어디로 가고있는지도 모르겠고 전투씬보다 쓸데없는 대화, 화상이 너무 많고",0
