content,feedback_label
정주행 하면 자연스럽게 흘러가고 재밌는데 스토리가 너무 방대하다보니 당시에 한 주마다 기다리면서 보면 ㅈㄴ 감질맛나고 답답하긴 했음,0
정주행하면서 보니까 부자연스러운 부분 1도 모르겠고 작가님이 어떻게든 개연성 이어가려고 중간중간 설명하시는 부분 넣는 게 눈에 보이는데?,0
나만 그런 건가,1
여기서부터민심이바닥낫노..,1
둥지 55층이라 하지 않았나?,1
ㅠㅠ,1
근데 생각해보니까 어이없네 개몸에서 왜 고양이 피가 흐르는지 너무 허무하게 아무것도 못하고 당했네,1
이상하넹,1
별점이.,1
왜이렇징????,1
야스:여기서 어떻게든 처리하고싶은데..2년뒤:넌 내 제일친한친구의 아들이야 ????,1
정주행 중 제일큰 의문점,1
야스라찬지 스리라찬지 용서 못해.ㅠㅠ,1
아는형님 38화 보면 소원이 95년생인데 내가 3살때 나온 노래라고 했는데 95년에 1살 96년에 2살 97년에 3살인데 자막에 98년이래 나이 계산할 줄 모르냐봐,0
만신,1
댓글 너무 찡찡댄다,1
정주행하니까 전개 자연스러운데그리고 뭐 전쟁나면 무조건 밤이 활약해야하나 전투신보고싶어서 안달났네,0
쿤 에드안이 사용하는 창고라...,1
쿤이 털고 나온 창고랑은 다른 창고인가?,1
정주행하면 진짜 자연스럽게 재밌음,1
원피스도 웹툰처럼 한 화 씩 올라왔으면 노잼소리 들었을듯,1
둥지설명,1
츤데레 빛스라차..,1
아니 아스라챠 어쩌다 야마가 보내졌고 그자리에 아스라챠가 있었을 뿐인데 이렇게까지 하누,1
오늘부터 고양이 ㅈㄴ싫어한다,1
난 지금 이 전쟁이 너무 이르다고 생각하는 사람인데 ㅋㅋㅋㅋ 탑이 총 몇 층인지도 명확하진 않은데 130 몇 층인가가 최고 층으로 보이는데 고작 4~50층대에서 벌써 이러면 저 전쟁을 다 겪고도 주인공 애들은 수십층을 더 올라가서 자하드랑 싸워야 함...,0
시험 치는데도 주기가 있는거 같던데 짧아야 몇십년 아닌가,1
이거 ㅋㅋㅋㅋ,1
아니 아디오스를아디 오스라 쓴다고?,0
정주행중인데 뭔가 여기서부터 뭔가 스토리가 얼탱없게 흘러가는 부분도 있는거 같고노잼이고 뭔가 꽉 막힌 느낌인데 정상인건가?,0
보물어디갔어...,1
진짜 징징이들 ㅈㄴ 많네,1
쿤이 보물창고 털었다는 곳이 저기였나봄하저씨 구하는데 큰 역할을 할 듯,1
아닌데 켈 헬람이 야마 먼저 보냈는데 야스라챠가 있는걸 모르고 케이지를 보내가지고,1
전화에서 둥지입구는 55층이고 둥지는 50층?,0
c급 선별인원인데 가주들이랑 자하드니 다 마주치고 아주 난리나네,1
아직 밤 c급 선별이잖아 ㅡㅡ,1
파도가 너무 크면 결국 널 잡아 먹게될거야,1
개재밌다ㅠㅠㅠㅠ,1
이제 곧 둥지전인가....!!,1
지들이 뭐라도 되는듯냉철한 판단인척 징징대는거 ㅈㄴ 꼴값이네ㅋㅋㅋㅋ,1
작가님 댓글 너무 신경쓰지 마시고 앞으로도 작가님 페이스대로 좋은 작품 만들어가주세요,1
😊!!,1
화이팅입이다!,1
에반켈이 아무 것도 못하고 있었다는 게 이상함,1
마스체니가 난 이쪽에 더 관심이 가는 순이라고 말하는 장면 복선이었네,1
FUG쪽 대단한 거처럼 나오는데 자하드쪽에 비해서 터무니없이 당하기만 하니까 사람들 반응 이런 거 같은데,1
난...,1
잉 왤케 다 화나있지?,1
정주행하니까 질질 끈다는 느낌 전혀없고 그냥 딱 스토리 좋은데?,1
한주에 한화씩 챙겨봐서 사람들 저러나본데 정주행 하면 생각 완전히 바뀔거임,1
나도 예전에 보다가 좀 지루해서 하차 했었는데 정주행 하니까 걍 스토리 개탄탄하고 재밌음,1
난 잘 모르겠음.,1
10년 넘게 연재하고 있는거기도 하고 라쿤밤 만난지 거진 10년이 됐는데 그동안 각 캐릭터들 성격이 견고하게 고정되어 있으면 그건 그거대로 이상하지않아?,0
사람들도 친구나 연인에 따라 성향 바뀌기도 하고 성격도 바뀌는데 그걸 캐붕이라 볼 수 있나?,1
작화도 나는 그냥 그럭저럭 보고있음.,1
이정도면 작화 뭉개진 수준도 아닌데 뭘.,1
전개도 등장인물이 여러명 나오는데다가 사건이 동시다발적으로 벌어지고 있어서 어쩔 수 없다는 생각이 들고.,1
전개를 빠르게 하려면 전투할 때 바로바로 결론이 나와야 하는데 그럼 너무 파워게임으로만 치닿을 수 있어서 중간중간 스토리 진행도 있어야 한다고 봄.,0
뭐 평범한 선별인원이 어떻게 저런 힘을-?,1
이런 류의 전개가 자주 등장하긴 하지만 소년만화 특성상 어쩔 수 없는거지.,1
그게 싫으면 성장형 만화는 보면 안되는거고.,1
10년 넘게 이어지고 있는 작품치고는 탄탄하다고 봄.,1
불만이 있으면 그냥 하차하는게 나을듯.,1
악어는 고대종… 언제 정신을 차리게될까요~~,1
이번화는 비판 하는 댓글 믆던데 꼬우면 보지 마셈 ㅋㅋㅋㅋ,1
멍멍이세력 얻을려고 생쇼를 수십주동안 했는데 고양이 군단장 한 놈 만나서 바로 다 몰살 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
한화씩 보면 답답할수 있는데 몰아서 보니까 그렇게 끈다는 느낌이 없긴하네요.,1
"매화마다 폭발하는 전투씬에 150컷 넘는건 기본, 이걸 몇년째 연재하셨다는 것에 그저 놀랍습니다.",1
저 보물창고 근데 쿤이 시험의 층에서 아빠 보물창고 털어왔다는 거기아님??,1
아버지가누군데에드안인지자하드인지,1
견족이 너무 쓸모가없다,0
그래서 뭔가 답답한듯 ㅈㄴ쌘줄알고 어떻게든 팀으로 만들려고 발악하는 몇달의 분량이 겨우 고양이1명 때문에 쓸모없는 분량이된게 크다 적어도 3형제는 정신지배 안통하게 설정했어야지,0
다통하면 걍 적의 도구일뿐인데,1
야마 나오기 전이 쭉쭉 잘 읽혔는뎅,1
밤의 분노가 끓어오르고 있다,1
존나질질끈다,1
너무끈다,1
원피스 드레스로자 에피소드 보는거같네,1
왜 저번화에는 둥지가 55층이락 뜨고 여기는 50층이라고 뜸?,0
실순가?,1
작가님 지기가 죽여놓고선...,1
근데 한화씩 보면 또 그런데 정주행하니까 개꿀임 ㅋㅋㅋ,1
어떤이가보기엔 캐릭터설정 스토리붕괴 있어보일수있고어떤이들한텐 그냥저냥 문제없이 스무스하게 넘어가고 재밌게보는이가 있는 것처럼 작품이란게 사람마다 시점이 다르니까 싸우지맙시다.,1
원래 만화라는 컨텐츠는 문제가 있다면있는거고 없다면없는거처럼 OOO 그냥 많은사람이 문제없이보면 장땡인거지,1
근데 너무 큰문제가있다면 많은 사람들이 재미못느껴서 하락하는사태만 발생하지않길 바라는거.....,0
"작가님도 문제가 있을수 있지,, 만화계의 모차르트라고 불리신 오다선생님께서도 뇌절치신회분이 있는거처럼 (OOO오뎅OOO색)..",1
결론은 과몰입한 상태에서 싸우지말자ㅋㅋㅋ,1
쿤은 저기를 어떻게 턴거지,1
에반켈이 생가보다 약하네,0
몰아보니까 개재밋는디...,1
3부 초반 결제해서 보다가 바빠서 오랜만에 보니 거의 60회 쌓여있네ㅋㅋㅋㅋ개인적으로 몰아보니 답답한 전개 이런거 없고 차근차근 쌓아가는 걸로 보임 ㅇㅇ,1
한회한회 보면 스토리 이해하기 어렵거나 전개 답답할수도 있는데 걍 몰아보는거 나쁘지않은데..,0
정주행 중인데 진짜 너무 탄탄하다...,1
일주일에 1편만 나올 때는 지루하게 느껴질 수 있겠지만 정주행 하니까 긴장감 있고 탄탄하게 느껴짐.,0
아마 작가님께서 스토리라인 잘 구성하셔서 이렇게 느껴지는 듯.,1
근데 개인적으로..,1
밤이 탑을올라가는과정이 궁금한데,0
지옥열차이후 그냥 맨날 수련+사기캐랑싸우기 이게다라..,0
스토리진행도 진행이지만 탑올라가면서 다른선별인원도 좀만나고 시험도보고 그럼좋겠는데,0
맨날저래서 아쉽다,0
왜 자꾸 신의탑작가 비난하세요ㅠㅜ,1
잘하고계시는데.,1
. .,1
. .,1
.,1
이때도 욕하는애들은 존재하네,1
쿤이 여기 털었다는 건가,1
이렇게 거대한 전쟁할것처럼 기대하게만들어놓고 지금 쥐잡기게임하고있지?,0
으휴,1
🔖야스라챠 회군 명령.,1
켄 존 및 견족 대다수 사망.,1
50층 둥지.,1
얼어붙은 폭포(로 포 비아의 알 보관함>에드안 보물창고),1
많은걸 보여주지 못하는건 글이 아니라 그림이라서 그런것도 있다고 생각함.,0
숫자로 나누는 보기편한 전투력이라는 시스템이 없어서 독자들이 '이 정도 훈련했는데 이제 좀 다이깔만 하지 않나?' 라고 생각을 가지는것도 당연함.,0
압도적인 힘으로 찍어누르는 것을 기대하는 사람들은 맥빠질 수 밖에 없음.,0
하지만 하이랭커라고 다 똑같은 것이 아니고 랭커라고 다 똑같은 것이 아니고 전투에 힘만이 전부는 아니니 이런 장면이 연출될 수 있다고 생각함,1
정주행하는 입장에서 매 화가 정말 재밌음.,1
매 화가 똑같다는 입장은 아마 일주일을 기다리는 독자의 입장이라 그렇다고 생각함,0
재미없게 느껴지는건 일주일에 한편씩 봐서 그렇게 느껴지는거임 ㅋㅋ,1
나도 예전엔 지루했는데 정주행으로 쭉 보니까 꿀잼임,1
너무 재밋는데 내용가지고 뭐라하는 애들 뭐냐?,1
거대 부유석 얼어붙은 폭포,1
"난 다른건 모르겠고 등장인물이 너무 많아서 이름을 모르겠음 .,",0
전편에는 55층이 탑 둥지 입구랬는데 둥지는 50층이야??,0
그럼 니들이 그리던가펜쥐어주면 한컷도 못 그릴새끼들이 말만 존나많아,1
몰아서 보면서 왔는데 확실히 한화 한화 기다리면서 읽던 독자는 지루할수도 있을듯ㅋㅋㅋㅋㅋ 전 개꿀잼이었어요,0
그리고 밤이랑 다니면 변화하는거 쿤이랑 라크부터가 시작인데 어쩌라는건지....,1
원래 밤이랑 친하면 다 변해요,1
그래서 탑을 변화시키는거고 뭔 캐붕,0
여기 댓글다 ㅈㄴ기네,1
그리고 슬레이어 버프가 너무 필요함,0
화이트는 지금도 강한데 완전히 하나가 되면 여기서 더 강해진다고 하니 더이상의 버프는 필요없겠고 야마도 충분히 강하니 버프는 필요없고 카라카가 문제임,0
유리랑 간지나게 싸우던 모습 어디로 감??,0
3부가 진행되고 카라카는 독자들에게 정을 얻었지만 힘은 잃은 느낌임,0
카라카 너무 약하게 포장되고 있음,0
스토리 반복이 문제가 아니라 제일 문제인게 하진성이 칼라반한테 진거임,0
그때부터 문제가 된거임,0
하진성을 이긴 칼라반을 밤이 이긴다..?,1
그럼 밤이 하진성보다 강한건데 솔직히 이건 벨붕이지 하진성이 이때까지 얼마나 강하게 포장되어 왔는데...,0
그리고 에반켈은 60위나 되면서 이런 찌끄레기들 앞에서 우물쭈물 아무것도 안하고 있고 그런 에반켈과 실력이 비슷한 켈헬람도 아무것도 안하고 있고 또 밤은 대체 그 오랜 시간동안 에반켈 제자로 배운 게 없는지 2부에서 3부 그 기간동안 밤의 성장이 나오지 않고 있단 것과 마스체니가 전력을 다해도 절대 이기지 못한 어린 자하드를 이긴 밤인데 왜 더 약해진 거 같은지...,0
이게 스토리 반복보다 더 문제임,0
물타기의 힘은 진짜 대단하구나,1
난 딱히 스토리의 반복에 대한 불만은 하나도 없는데 갑자기 사라져버린 나머지 동료들과 밤의 능력을 보여주는 것에 불만이 있음,0
2부에서 3부로 넘어오는 동안 엔도르시와 화련은 어떻게 된 것인가..?,1
엔도르시는 몰라도 화련은 밤의 길잡이인데 밤을 안따라다니고 어디서 뭘 하고 있는 것인가..?,0
어린 자하드가 전력을 다하지 않아도 마스체니 조차 이기진 못한 어린 자하드를 밤과 어린 자하드 모두 전력을 다해서 무려 어린 자하드를 이겼는데 왜 이런 애들한테 밀리고 있는 것인가..?,1
대체 에반켈의 제자로 들어가서 새로 배운 능력이 무엇인가..?,1
2부에서 3부로 넘어오면서 그 긴 시간동안 에반켈의 제자로 얼마나 더 성장했는 게 궁금한데 그에 대한 이야기는 나오지 않고 있음,0
또 하진성이 칼라반한테 밀리는 거부터가 이상함,0
밤이 칼라반을 이긴다면 하진성보다 강하다는 건데 그건 너무 벨붕이 아닌가..?,1
에반켈이 왜 이런 애들한테 우물쭈물 아무것도 못하고 있는 것인가..?,1
어우 와우 이게 물타기의 힘이라는 건가 전화까지만 해도 베댓에 웹툰 관련 좋은 댓글만 있었는데 여긴 난리네,1
테러범과 협상은 없다.,1
하는말이 저런거임.,1
따라오면 하나씩 죽인다....,1
근데 어차피 마지막에 가서 우리 은신처를 본놈을 살려둘수없다 하고 어차피 다 죽이게 되어있음.,1
아깜작이야 마지막에 비올레인줄,1
존나재밌어서3일동안 정주행해서 여기왔는데 확실히 내용좀 빈약해지고 작화구려지고 좀 별로다,0
싶을즘 댓글이랑 별점터지네,1
재밌기는 한데 글이 너무 많아 필요하지 않은 대사들까지 보고있자니 눈깔아파..,0
전쟁이 쉽게 일어나는 줄 아는 건가..,1
서로 꾸준하게 도발하지만 둘 다 아직 싸울 시기가 아니라고 판단해서 전젱 준비하는 과정인 데 왜 전쟁안하냐고 징징거리거냐..,1
난생 본적없는 파도가 갈거같은데,1
진짜??ㅋㅋ,1
"호아퀸이나 카라카가 우호적이게 된 이유도 결국은 이번 에피소드들어서면서인데 신의탑 특성상 에피소드가 너무 깊고 오래 끌어서 독자들이 보기에 캐붕처럼 느껴지는듯 물론 카라카 화이트가 지금부터 밤 편이 될 가능성이 크긴 한데 애초에 이야기가 밤vs카라카, 밤vs화이트가 아님",0
ㅋㅋㅋㅋㅋ지옥열차가 너무 길어서 독자들이 그렇게 봤을 뿐...ㅠ,0
지금부터는 퍼그가 선이고 자하드가 타개해야할 목표고 악임.,1
밤은 혁명의 불꽃인거고...,1
근데 이걸 잘 받아들이게 하려면 작가님도 각각 에피소드에 집중하면서도 계속 전체적인 흐름 거시적인 틀을 자꾸 강조하는게 좋을 것 같긴함,0
야마 각성시키려고 견족 다 죽인거 같은딩견적들 살려봤자 커진 스케일 상 도움도 안되는 전력이고(이미 밤 실력측정기로 다 써버림 다음 이야기에 써먹기엔 너무 약함) 차근차근 잘 진행되는거 같은데,0
분위기 왜이렇징,1
솔직히 개인적으로 신의탑 아쉬운 점은 너무 방대한 내용이 동시적으로 일어나고 또 에피소드가 상세히 진행돼서(떡밥은 또 너무 많고) 한 두 번 정주행해도 거시적인 스토리를 파악하기 힘들다는 건데 댓글 보니까 다들 그래서 길을 잃은 듯ㅋㅋㅋㅋ한 열 번은 봐야하나...,0
북한이랑 전쟁났을때 일본이 군사지원하면 왜 도와주냐고해라서로 싸우던 주인공들이 공통의 적을 만나면 동맹해야지,1
자하드가 전쟁일으켜서 밤과 관련된 반란의 뿌리를 뽑을라고 하는데 퍼그 소속인 카라카랑 화이트가 밤 이겨먹으면 스토리가 어떻게 이어지냐,1
유한성도 에반켈 오지게 따르는데 에반켈도 고대종 힘 일부 받은 주인공이니까 자하드가 멸망시킨 고대종과 일부 연관이 있겠지,1
그래서 밤쪽으로 붙은거고 밤의 힘만 키워서 자하드랑 1ㄷ1 맞짱뜨게하면 웹툰 스케일 ㅈㄴ 작아지는데 그걸 바라냐;; 당연히 밤의 성장과 함께 자하드와 대적할 세력도 같이 성장시켜서 세력간 싸움으로 가야 스케일이 더 커져서 재밌지.,0
일주일 기다려서 한 화씩보면 전개도 당연히 느리게 보이고 전에 있던 사소한 디테일이 기억안나서 내용이 안이어지는것처럼 보이지만 정주행하면서 보면 충분히 이해하고 넘어갈 수 있는 전개라고 본다.,0
작가님도 사람이니까 중간중간 실수가 있을 수 있지만 염병할 정도의 스토리붕괴는 아닌 것 같음,1
배댓 개멍청하네 ㅋㅋ애초에 주인공 무리의 적은 자하드고 퍼그는 자하드와 대적하는 존재고 밤 자체도 슬레이어 후보인데 뭔 슬레이어들이 착해진다는 헛소릴하냐 ㅋㅋ,1
굳이 진영을 나눈다고치면 퍼그는 착한 진영이라고 멍청아 ㅋㅋ,1
전쟁이 그렇게 쉽게 시작되면 탑은 이미 전쟁하고 있지..,1
글고 사실 선별위원이 랭커 사이에 껴서 저정도면 잘하고 있는거임,1
하이랭커 자체가 선별위원이 볼 정도가 아닌데ㅋㅋㅋ군단장은 말할것도 없고,0
댓글 물타기 너무 심하네｡,0
｡정주행하는 입장에서는 문제될 거 없어보이는데 무작정 빠르고 사이다인 전개보다 천천히 떡밥 전부 회수하면서 탄탄하게 스토리 이어가는 게 훨씬 낫다고 생각,0
슬프다,1
쿤이 하진성 구하는데 큰 역할을 하겠네 저 보물 털었다고 명기된건 작중 AA뿐이니,1
거대 부유석안에는 몇화쯤 들어갈 수 있을까...,1
야마가 야스라차한테 털린다고 밸붕이라하는분이 있는데 애초에 상성 자체도 극도로 불리하고 군단장을 ㅈ으로 보시는데 웬만해선 군단장은 100위권 이내에 드는 최상위 하이랭커에요,1
자하드의 필승카드라 불리는 이유가 있겠죠,1
근데 야마가 아무리 1세대 슬레이어에도 비견될만한 힘을 갖고있다고 해도 야마가 이기는게 더 밸붕 아닐까요,0
작가님 건강 안좋으신가요는 ㄹㅇ ㅋㅋㅋㅋ....,1
웃음밖에 안나온다,1
10년 연재한 작가님한테 할말이 참...,1
독백 처리가 너무 어색하다,0
아무도 안보는데 혼잣말을 아주 길고 거창하게 하는 모습이 참 부자연스러움...,0
나는 지금 누군가의 10년간의 기록을 3일만에 조지고있는데 나야뭐 그냥 보는거니까 별 느낌 없다만 일주일 기다렸다가 보는애들은 답답할수있다고 본다,0
자극적인 걸 원한다는 거지 마스체니마냥 시뻘건 거에 환장한다는 거지,1
8557,1
여기 왜캐 무서웡ㅠ,1
역시 돈맛보니까 스토리 개 ㅈ으로가버리기,0
밤,1
↓↓엑스트라 과하게 많긴함 ㅇㅈ,0
처음 정주행 하는건데 엑스트라가 너무 많긴함,0
더군다나 밤 주변 인물들이 죽지도 않음,0
2부때 아크랩터나 프린스 같은 쩌리 죽었을때 처럼 여파가 있긴하겠지만 점점 엑스트라가 많아 지니까 벨붕 소리가 안날 수가 없는거임,0
스케일 키우지만 말고 크게 한번 싸워서 밤 주변 쩌리들이나 엑스트라 싹 정리하고 가는게 맞다고 봄,0
에반켈 야마 등 폭주할땐 개쩐다던 사람들이 전투끝나니까 싸울랑말랑한다고 아쉬운소리쳐하네ㅋㅋ드래곤볼마냥 적 만나는순간 죽일때까지 싸워야 속이 시원하냐?,1
왜 창고에 관한 말이 없지?,0
옛날에 쿤이 자기 아버지 창고 털어서 시험참가 한건데 하진성을 그 창고에 가둔다고 하고.,1
"배댓 추천 저만큼 받은거보면 공감하는 사람도 많은건데 지들이랑 의견 다르다고 잼민이네,제대로 웹툰 안봤네",1
억지 프레임 씌우네ㅋㅋ,1
캐붕 - 팩트(유한성 1부의 잔인한 성격이랑 너무 다름..,0
지금은 성격이 데이터랑 똑같다.,1
그거 말고도 그냥 캐릭터의 성격들이 점점 비슷해지는게 보임)밸붕 - 팩트(야마 군단급 세력이라면서 고양이한테 근접전마저 털림,0
카라카는 하이랭커인데 왠 듣보 랭커 박살 못냄) 분량 - 억까(이 정도면 아직 풍부한 편임,1
오히려 기존이 정말 많았던거..),1
야스라챠 ㅋㅋㅋ 하이랭커가 존나 구질구질하네 ㅋㅋㅋㅋㅋ,1
작가가 니들 호구냐 꼬우면 안보면 될껄 밸런스니 뭐니 꼬우면 니들이 신의탑 1화부터 써봐,1
아브토가 밤에 대해 말한 것을 좋은 영어 번역으로 알려줄 수 있는 분 있나요?,1
엔도르시 뿔 진짜;; 그림좀 제대로 쳐그려라,0
이거 정답이 V 였네.,1
오늘 유료분 보니까.,1
떡밥 댓글보고 다시 보러옴,1
루슬렉 나왔을때 있었던 베대처럼 원래 v의 몸을 루슬렉이 사용?,1
하는게 맞는것같다...,1
눈이 밤의랑 똑닮았는데!!,1
작게 그리라고 엔도르시 젖은 크게 그려도 좋아,1
구스트앙이 구해줄거야...!(,1
?),1
스토리랑 작화중에 하나라도 예전 신의탑으로 돌아왔으면 좋겠다ㅠㅠ,0
여기 댓글들은 다 김전일 코난일세~,1
애들 의상이 왤케 뒤죽박죽이냐; 실제 현대 패션 입힐거면 제대로 입히든가 애매한 컨셉 복장에다가 실제 패션 템 섞으니까 진짜 개별로네 그냥 하나만해 의상 항상 개 구림,0
진짜,1
다시보니 신기하네 ㅋㅋㅋㅋ,1
빠른 템포에 자극적인 웹툰들이 주를 이루다보니 신의탑이 그런 흐름에 휩쓸려다니는 것 같아서 많이 아쉬움.,0
지금은 뭔가 이도저도 아닌 느낌이 되어버림,0
"일주일마다 연재하고 반응이 즉각적인 웹툰 특성 때문에 어려운 건 알지만, 그래도 신의탑 만의 속도와 스타일로 연재했으면 좋겠음.",0
판타지 웹툰이 웹툰 시장 흐름에 맞추면 나중에 봤을 때 작품성도 떨어진다고 생각함.,0
독자 좀 쳐내더라도 나중에 봤을 때 명작으로 남았으면 좋겠음,0
와 정주행하니까 이해되는 내용이 있구나,1
대결이냐 대화이냐,1
그것이 문제로다,1
첨부터.,1
대화하는.,1
장면도 개떡같이.,0
헷갈리게 그려놓고걍 때려치라니깐?,0
뭣하면 판 다 엎어버릴수도 있을 우렉 마지노도 대기중이고 루슬렉에 두 가주에 화려한 무대,1
개재밌네,1
웃기지않음?,0
13인 죄인에 밤 부모가 있는데 밤이 왜 주인공(엑시저 후보)이라고 정해둠?,0
원래 후보가 13인에 있겠지만 이미 그 의무를 내려놨고 그 결과 죄인이 된걸로 보임.,1
"그럼 보통 외부 엑시저는 새로 파견(이번 화 질문이 가르키는 존재가 자하드인지 새로운 외부인인지는 모르지만)을 해야지, 죄인의 자식에게 기회를 또 주는건 이상하잖아 ㅋㅋㅋ 여기서부터 추측 시작해야하지않을까?",0
공략 진행을 두고 v와 자하드의 싸움.,1
질투하는 라헬.,1
기억없는 밤 // 난 밤 제물설 쪽이 맞다고 봄.,1
아를렌 입장에서 의무를 내려놓고 아들죽인 자하드 물먹이는 최선의 결과는 밤이 새로운 구도자가 되는거 아님?,1
밤에 후보자 영혼이 들어갔다는 말 많은데 난 그게 그냥 모든걸 밤에게 뺏긴게 라헬이 아닐까싶음.,1
설마 라헬이 원래 자격을 쥐고있던 주인공..?,1
"계속해서 원래 자신의 자격이라고 언급하고, 라헬도 탑밖에서 들어온 비선별인원이기도..",1
