no,appId,episodeId,userName,content,score,at,M_Label,M_Score
61,183559,468,Kai Havertz,오늘부터 고양이 ㅈㄴ싫어한다,2,2022-05-03 00:40,hate,0.96
62,183559,468,minecraftian,난 지금 이 전쟁이 너무 이르다고 생각하는 사람인데 ㅋㅋㅋㅋ 탑이 총 몇 층인지도 명확하진 않은데 130 몇 층인가가 최고 층으로 보이는데 고작 4~50층대에서 벌써 이러면 저 전쟁을 다 겪고도 주인공 애들은 수십층을 더 올라가서 자하드랑 싸워야 함...,4,2022-04-30 18:48,hate,0.85
62,183559,468,minecraftian,시험 치는데도 주기가 있는거 같던데 짧아야 몇십년 아닌가,4,2022-04-30 18:48,offensive,0.59
62,183559,468,minecraftian,이거 ㅋㅋㅋㅋ,4,2022-04-30 18:48,offensive,0.47
63,183559,468,Lenya,아니 아디오스를아디 오스라 쓴다고?,0,2022-04-30 00:38,offensive,0.56
64,183559,468,준봉,정주행중인데 뭔가 여기서부터 뭔가 스토리가 얼탱없게 흘러가는 부분도 있는거 같고노잼이고 뭔가 꽉 막힌 느낌인데 정상인건가?,1,2022-04-24 02:52,offensive,0.61
65,183559,468,okm1****,보물어디갔어...,-1,2022-04-19 12:29,offensive,0.54
66,183559,468,커흣코,진짜 징징이들 ㅈㄴ 많네,6,2022-04-16 23:20,hate,0.95
67,183559,468,장태훈,쿤이 보물창고 털었다는 곳이 저기였나봄하저씨 구하는데 큰 역할을 할 듯,-3,2022-04-05 16:49,offensive,0.61
68,183559,468,쌍마이,아닌데 켈 헬람이 야마 먼저 보냈는데 야스라챠가 있는걸 모르고 케이지를 보내가지고,0,2022-03-16 09:06,hate,0.65
69,183559,468,한스몽잉,전화에서 둥지입구는 55층이고 둥지는 50층?,2,2022-03-14 02:25,offensive,0.63
70,183559,468,우라노스,c급 선별인원인데 가주들이랑 자하드니 다 마주치고 아주 난리나네,0,2022-03-04 20:34,hate,0.5
71,183559,468,밍,아직 밤 c급 선별이잖아 ㅡㅡ,0,2022-02-27 14:09,offensive,0.72
72,183559,468,과수,파도가 너무 크면 결국 널 잡아 먹게될거야,-1,2022-02-26 02:04,offensive,0.71
73,183559,468,순두부,개재밌다ㅠㅠㅠㅠ,4,2022-02-25 14:58,clean,0.73
73,183559,468,순두부,이제 곧 둥지전인가....!!,4,2022-02-25 14:58,offensive,0.61
74,183559,468,66 Alexander Arnold,지들이 뭐라도 되는듯냉철한 판단인척 징징대는거 ㅈㄴ 꼴값이네ㅋㅋㅋㅋ,12,2022-02-08 17:51,hate,0.9
75,183559,468,서윤서,작가님 댓글 너무 신경쓰지 마시고 앞으로도 작가님 페이스대로 좋은 작품 만들어가주세요,13,2022-02-06 00:54,clean,0.74
75,183559,468,서윤서,😊!!,13,2022-02-06 00:54,offensive,0.52
75,183559,468,서윤서,화이팅입이다!,13,2022-02-06 00:54,clean,0.63
76,183559,468,IMMM,에반켈이 아무 것도 못하고 있었다는 게 이상함,0,2022-01-24 00:45,offensive,0.66
77,183559,468,장현욱,마스체니가 난 이쪽에 더 관심이 가는 순이라고 말하는 장면 복선이었네,1,2022-01-22 20:42,clean,0.66
78,183559,468,기,FUG쪽 대단한 거처럼 나오는데 자하드쪽에 비해서 터무니없이 당하기만 하니까 사람들 반응 이런 거 같은데,2,2022-01-22 19:02,offensive,0.52
78,183559,468,기,난...,2,2022-01-22 19:02,offensive,0.63
79,183559,468,하느리,잉 왤케 다 화나있지?,27,2022-01-13 05:18,offensive,0.67
79,183559,468,하느리,정주행하니까 질질 끈다는 느낌 전혀없고 그냥 딱 스토리 좋은데?,27,2022-01-13 05:18,clean,0.56
79,183559,468,하느리,한주에 한화씩 챙겨봐서 사람들 저러나본데 정주행 하면 생각 완전히 바뀔거임,27,2022-01-13 05:18,offensive,0.71
79,183559,468,하느리,나도 예전에 보다가 좀 지루해서 하차 했었는데 정주행 하니까 걍 스토리 개탄탄하고 재밌음,27,2022-01-13 05:18,offensive,0.56
80,183559,468,tkdn****,난 잘 모르겠음.,22,2022-01-12 17:50,offensive,0.59
80,183559,468,tkdn****,10년 넘게 연재하고 있는거기도 하고 라쿤밤 만난지 거진 10년이 됐는데 그동안 각 캐릭터들 성격이 견고하게 고정되어 있으면 그건 그거대로 이상하지않아?,22,2022-01-12 17:50,offensive,0.53
80,183559,468,tkdn****,사람들도 친구나 연인에 따라 성향 바뀌기도 하고 성격도 바뀌는데 그걸 캐붕이라 볼 수 있나?,22,2022-01-12 17:50,hate,0.92
80,183559,468,tkdn****,작화도 나는 그냥 그럭저럭 보고있음.,22,2022-01-12 17:50,clean,0.56
80,183559,468,tkdn****,이정도면 작화 뭉개진 수준도 아닌데 뭘.,22,2022-01-12 17:50,offensive,0.45
80,183559,468,tkdn****,전개도 등장인물이 여러명 나오는데다가 사건이 동시다발적으로 벌어지고 있어서 어쩔 수 없다는 생각이 들고.,22,2022-01-12 17:50,offensive,0.55
80,183559,468,tkdn****,전개를 빠르게 하려면 전투할 때 바로바로 결론이 나와야 하는데 그럼 너무 파워게임으로만 치닿을 수 있어서 중간중간 스토리 진행도 있어야 한다고 봄.,22,2022-01-12 17:50,clean,0.55
80,183559,468,tkdn****,뭐 평범한 선별인원이 어떻게 저런 힘을-?,22,2022-01-12 17:50,offensive,0.54
80,183559,468,tkdn****,이런 류의 전개가 자주 등장하긴 하지만 소년만화 특성상 어쩔 수 없는거지.,22,2022-01-12 17:50,offensive,0.52
80,183559,468,tkdn****,그게 싫으면 성장형 만화는 보면 안되는거고.,22,2022-01-12 17:50,hate,0.72
80,183559,468,tkdn****,10년 넘게 이어지고 있는 작품치고는 탄탄하다고 봄.,22,2022-01-12 17:50,clean,0.68
80,183559,468,tkdn****,불만이 있으면 그냥 하차하는게 나을듯.,22,2022-01-12 17:50,hate,0.51
81,183559,468,쁘띠,악어는 고대종… 언제 정신을 차리게될까요~~,0,2022-01-12 09:11,offensive,0.74
82,183559,468,blu,이번화는 비판 하는 댓글 믆던데 꼬우면 보지 마셈 ㅋㅋㅋㅋ,2,2022-01-09 23:23,hate,0.77
83,183559,468,신상,멍멍이세력 얻을려고 생쇼를 수십주동안 했는데 고양이 군단장 한 놈 만나서 바로 다 몰살 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2022-01-04 19:11,hate,0.92
84,183559,468,JOE,한화씩 보면 답답할수 있는데 몰아서 보니까 그렇게 끈다는 느낌이 없긴하네요.,18,2021-12-31 16:00,offensive,0.62
84,183559,468,JOE,"매화마다 폭발하는 전투씬에 150컷 넘는건 기본, 이걸 몇년째 연재하셨다는 것에 그저 놀랍습니다.",18,2021-12-31 16:00,offensive,0.51
85,183559,468,이현우,저 보물창고 근데 쿤이 시험의 층에서 아빠 보물창고 털어왔다는 거기아님??,0,2021-12-31 05:48,offensive,0.47
86,183559,468,쌍마이,아버지가누군데에드안인지자하드인지,0,2021-12-29 06:01,hate,0.71
87,183559,468,5828wr,견족이 너무 쓸모가없다,5,2021-12-21 07:24,hate,0.87
87,183559,468,5828wr,그래서 뭔가 답답한듯 ㅈㄴ쌘줄알고 어떻게든 팀으로 만들려고 발악하는 몇달의 분량이 겨우 고양이1명 때문에 쓸모없는 분량이된게 크다 적어도 3형제는 정신지배 안통하게 설정했어야지,5,2021-12-21 07:24,hate,0.54
87,183559,468,5828wr,다통하면 걍 적의 도구일뿐인데,5,2021-12-21 07:24,hate,0.8
88,183559,468,유나,야마 나오기 전이 쭉쭉 잘 읽혔는뎅,1,2021-12-19 19:55,clean,0.58
89,183559,468,ayar****,밤의 분노가 끓어오르고 있다,0,2021-12-19 07:39,offensive,0.65
90,183559,468,유태규,존나질질끈다,-1,2021-12-17 06:23,offensive,0.54
90,183559,468,유태규,너무끈다,-1,2021-12-17 06:23,offensive,0.47
90,183559,468,유태규,원피스 드레스로자 에피소드 보는거같네,-1,2021-12-17 06:23,clean,0.58
91,183559,468,Jeongho Im,왜 저번화에는 둥지가 55층이락 뜨고 여기는 50층이라고 뜸?,0,2021-12-16 05:47,offensive,0.6
91,183559,468,Jeongho Im,실순가?,0,2021-12-16 05:47,offensive,0.55
92,183559,468,짱댈,작가님 지기가 죽여놓고선...,0,2021-12-16 00:41,hate,0.66
93,183559,468,잠만자도랭커,근데 한화씩 보면 또 그런데 정주행하니까 개꿀임 ㅋㅋㅋ,2,2021-12-13 16:54,clean,0.59
94,183559,468,인월,어떤이가보기엔 캐릭터설정 스토리붕괴 있어보일수있고어떤이들한텐 그냥저냥 문제없이 스무스하게 넘어가고 재밌게보는이가 있는 것처럼 작품이란게 사람마다 시점이 다르니까 싸우지맙시다.,0,2021-12-07 22:31,offensive,0.47
94,183559,468,인월,원래 만화라는 컨텐츠는 문제가 있다면있는거고 없다면없는거처럼 OOO 그냥 많은사람이 문제없이보면 장땡인거지,0,2021-12-07 22:31,hate,0.58
94,183559,468,인월,근데 너무 큰문제가있다면 많은 사람들이 재미못느껴서 하락하는사태만 발생하지않길 바라는거.....,0,2021-12-07 22:31,offensive,0.54
94,183559,468,인월,"작가님도 문제가 있을수 있지,, 만화계의 모차르트라고 불리신 오다선생님께서도 뇌절치신회분이 있는거처럼 (OOO오뎅OOO색)..",0,2021-12-07 22:31,hate,0.95
94,183559,468,인월,결론은 과몰입한 상태에서 싸우지말자ㅋㅋㅋ,0,2021-12-07 22:31,offensive,0.7
95,183559,468,아이고,쿤은 저기를 어떻게 턴거지,0,2021-11-27 23:48,hate,0.57
96,183559,468,콩냔,에반켈이 생가보다 약하네,0,2021-11-24 15:49,offensive,0.71
97,183559,468,우왕,몰아보니까 개재밋는디...,4,2021-11-24 14:31,clean,0.71
98,183559,468,oo,3부 초반 결제해서 보다가 바빠서 오랜만에 보니 거의 60회 쌓여있네ㅋㅋㅋㅋ개인적으로 몰아보니 답답한 전개 이런거 없고 차근차근 쌓아가는 걸로 보임 ㅇㅇ,8,2021-11-22 03:01,clean,0.86
98,183559,468,oo,한회한회 보면 스토리 이해하기 어렵거나 전개 답답할수도 있는데 걍 몰아보는거 나쁘지않은데..,8,2021-11-22 03:01,clean,0.69
99,183559,468,117학교폭력상담번호,정주행 중인데 진짜 너무 탄탄하다...,7,2021-11-15 02:17,clean,0.64
99,183559,468,117학교폭력상담번호,일주일에 1편만 나올 때는 지루하게 느껴질 수 있겠지만 정주행 하니까 긴장감 있고 탄탄하게 느껴짐.,7,2021-11-15 02:17,clean,0.52
99,183559,468,117학교폭력상담번호,아마 작가님께서 스토리라인 잘 구성하셔서 이렇게 느껴지는 듯.,7,2021-11-15 02:17,clean,0.81
100,183559,468,강산,근데 개인적으로..,2,2021-11-13 14:40,offensive,0.48
100,183559,468,강산,밤이 탑을올라가는과정이 궁금한데,2,2021-11-13 14:40,offensive,0.67
100,183559,468,강산,지옥열차이후 그냥 맨날 수련+사기캐랑싸우기 이게다라..,2,2021-11-13 14:40,offensive,0.66
100,183559,468,강산,스토리진행도 진행이지만 탑올라가면서 다른선별인원도 좀만나고 시험도보고 그럼좋겠는데,2,2021-11-13 14:40,offensive,0.49
100,183559,468,강산,맨날저래서 아쉽다,2,2021-11-13 14:40,offensive,0.72
101,183559,468,hae,왜 자꾸 신의탑작가 비난하세요ㅠㅜ,8,2021-11-07 11:09,clean,0.53
101,183559,468,hae,잘하고계시는데.,8,2021-11-07 11:09,offensive,0.44
101,183559,468,hae,. .,8,2021-11-07 11:09,offensive,0.64
101,183559,468,hae,. .,8,2021-11-07 11:09,offensive,0.64
101,183559,468,hae,.,8,2021-11-07 11:09,hate,0.52
102,183559,468,강아지,이때도 욕하는애들은 존재하네,5,2021-11-01 06:56,hate,0.75
103,183559,468,jjcchh,쿤이 여기 털었다는 건가,-1,2021-10-20 17:09,hate,0.58
104,183559,468,일렉,이렇게 거대한 전쟁할것처럼 기대하게만들어놓고 지금 쥐잡기게임하고있지?,1,2021-10-19 22:20,hate,0.86
104,183559,468,일렉,으휴,1,2021-10-19 22:20,offensive,0.53
105,183559,468,EASY,🔖야스라챠 회군 명령.,-1,2021-10-12 19:47,hate,0.84
105,183559,468,EASY,켄 존 및 견족 대다수 사망.,-1,2021-10-12 19:47,hate,0.82
105,183559,468,EASY,50층 둥지.,-1,2021-10-12 19:47,hate,0.55
105,183559,468,EASY,얼어붙은 폭포(로 포 비아의 알 보관함>에드안 보물창고),-1,2021-10-12 19:47,offensive,0.47
106,183559,468,퀘쓰,많은걸 보여주지 못하는건 글이 아니라 그림이라서 그런것도 있다고 생각함.,6,2021-10-12 04:01,offensive,0.52
106,183559,468,퀘쓰,숫자로 나누는 보기편한 전투력이라는 시스템이 없어서 독자들이 '이 정도 훈련했는데 이제 좀 다이깔만 하지 않나?' 라고 생각을 가지는것도 당연함.,6,2021-10-12 04:01,offensive,0.59
106,183559,468,퀘쓰,압도적인 힘으로 찍어누르는 것을 기대하는 사람들은 맥빠질 수 밖에 없음.,6,2021-10-12 04:01,offensive,0.7
106,183559,468,퀘쓰,하지만 하이랭커라고 다 똑같은 것이 아니고 랭커라고 다 똑같은 것이 아니고 전투에 힘만이 전부는 아니니 이런 장면이 연출될 수 있다고 생각함,6,2021-10-12 04:01,offensive,0.6
106,183559,468,퀘쓰,정주행하는 입장에서 매 화가 정말 재밌음.,6,2021-10-12 04:01,clean,0.77
106,183559,468,퀘쓰,매 화가 똑같다는 입장은 아마 일주일을 기다리는 독자의 입장이라 그렇다고 생각함,6,2021-10-12 04:01,clean,0.51
107,183559,468,메반날두레즈,재미없게 느껴지는건 일주일에 한편씩 봐서 그렇게 느껴지는거임 ㅋㅋ,12,2021-10-11 18:39,clean,0.57
107,183559,468,메반날두레즈,나도 예전엔 지루했는데 정주행으로 쭉 보니까 꿀잼임,12,2021-10-11 18:39,offensive,0.48
108,183559,468,wjdg****,너무 재밋는데 내용가지고 뭐라하는 애들 뭐냐?,10,2021-09-15 09:31,offensive,0.47
109,183559,468,레먼,거대 부유석 얼어붙은 폭포,-2,2021-09-08 16:57,offensive,0.6
110,183559,468,둥,"난 다른건 모르겠고 등장인물이 너무 많아서 이름을 모르겠음 .,",4,2021-09-07 00:32,offensive,0.7
111,183559,468,dnrw****,전편에는 55층이 탑 둥지 입구랬는데 둥지는 50층이야??,-2,2021-09-06 07:15,offensive,0.48
112,183559,468,nice****,그럼 니들이 그리던가펜쥐어주면 한컷도 못 그릴새끼들이 말만 존나많아,0,2021-09-02 10:55,hate,0.78
113,183559,468,안녕,몰아서 보면서 왔는데 확실히 한화 한화 기다리면서 읽던 독자는 지루할수도 있을듯ㅋㅋㅋㅋㅋ 전 개꿀잼이었어요,10,2021-08-24 22:37,clean,0.85
113,183559,468,안녕,그리고 밤이랑 다니면 변화하는거 쿤이랑 라크부터가 시작인데 어쩌라는건지....,10,2021-08-24 22:37,offensive,0.65
113,183559,468,안녕,원래 밤이랑 친하면 다 변해요,10,2021-08-24 22:37,offensive,0.7
